id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,dte
QQQ240501C00439000-2024-04-22,options-eod,QQQ240501C00439000,QQQ,2024-05-01,weekly,call,439.0,NASDAQ,USD,0.4,0.49,0.27,0.49,1.0,,,,,0.3,2024-04-22 15:14:59,401.0,0.32,2024-04-22 15:14:59,526,,8.0,,,232.0,,,0.1973,,,0.31,0.05955,0.009677,-0.093963,0.073434,0.005399,2024-04-22,,,,
QQQ240501C00437000-2024-04-22,options-eod,QQQ240501C00437000,QQQ,2024-05-01,weekly,call,437.0,NASDAQ,USD,0.41,0.66,0.41,0.63,1.0,,,,,0.43,2024-04-22 15:14:59,381.0,0.45,2024-04-22 15:14:59,418,,7.0,,,23.0,,,0.1972,,,0.44,0.080256,0.012188,-0.118458,0.092408,0.007271,2024-04-22,,,,
QQQ240501C00436000-2024-04-22,options-eod,QQQ240501C00436000,QQQ,2024-05-01,weekly,call,436.0,NASDAQ,USD,0.56,0.74,0.36,0.57,3.0,,,,,0.52,2024-04-22 15:14:59,154.0,0.54,2024-04-22 15:14:59,227,,144.0,,,285.0,,,0.198,,,0.53,0.093519,0.013609,-0.133519,0.103596,0.008469,2024-04-22,,,,
QQQ240501C00435000-2024-04-22,options-eod,QQQ240501C00435000,QQQ,2024-05-01,weekly,call,435.0,NASDAQ,USD,0.7,0.98,0.42,0.71,3.0,,,,,0.62,2024-04-22 15:14:59,141.0,0.64,2024-04-22 15:14:59,100,,165.0,,,1232.0,,,0.1984,,,0.63,0.107796,0.015064,-0.148635,0.11491,0.009758,2024-04-22,,,,
QQQ240501C00449000-2024-04-22,options-eod,QQQ240501C00449000,QQQ,2024-05-01,weekly,call,449.0,NASDAQ,USD,0.08,0.08,0.06,0.07,3.0,,,,,0.04,2024-04-22 15:14:55,536.0,0.06,2024-04-22 15:14:55,461,,16.0,,,,,,0.2025,,,0.05,0.011653,0.002423,-0.024572,0.018884,0.001059,2024-04-22,,,,
QQQ240501C00447000-2024-04-22,options-eod,QQQ240501C00447000,QQQ,2024-05-01,weekly,call,447.0,NASDAQ,USD,0.12,0.12,0.08,0.08,20.0,,,,,0.06,2024-04-22 15:14:59,543.0,0.08,2024-04-22 15:14:59,461,,30.0,,,,,,0.2039,,,0.08,0.017656,0.003441,-0.035435,0.027006,0.001603,2024-04-22,,,,
QQQ240501C00446000-2024-04-22,options-eod,QQQ240501C00446000,QQQ,2024-05-01,weekly,call,446.0,NASDAQ,USD,0.11,0.11,0.08,0.09,1.0,,,,,0.08,2024-04-22 15:14:59,119.0,0.09,2024-04-22 15:14:59,116,,50.0,,,,,,0.2013,,,0.09,0.019834,0.003849,-0.038657,0.029816,0.001801,2024-04-22,,,,
QQQ240501C00448000-2024-04-22,options-eod,QQQ240501C00448000,QQQ,2024-05-01,weekly,call,448.0,NASDAQ,USD,0.08,0.09,0.07,0.09,2.0,,,,,0.05,2024-04-22 15:14:56,197.0,0.07,2024-04-22 15:14:56,473,,60.0,,,,,,0.2017,,,0.06,0.013782,0.002813,-0.028313,0.021835,0.001252,2024-04-22,,,,
QQQ240501C00445000-2024-04-22,options-eod,QQQ240501C00445000,QQQ,2024-05-01,weekly,call,445.0,NASDAQ,USD,0.12,0.12,0.09,0.09,1.0,,,,,0.09,2024-04-22 15:14:59,461.0,0.11,2024-04-22 15:14:59,461,,12.0,,,,,,0.1951,,,0.09,0.020388,0.004065,-0.038394,0.030521,0.001852,2024-04-22,,,,
QQQ240501C00450000-2024-04-19,options-eod,QQQ240501C00450000,QQQ,2024-05-01,weekly,call,450.0,NASDAQ,USD,0.22,0.23,0.06,0.08,37.0,,,,,0.06,2024-04-19 15:14:59,3.0,0.08,2024-04-19 15:14:59,431,,286.0,,,237.0,,,0.2113,,,0.08,0.014995,0.002487,-0.02703,0.027259,0.00185,2024-04-19,,,,
