id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,trade_dt,expiry_dt,dte_calc
QQQ250509C00493000-2025-04-15,options-eod,QQQ250509C00493000,QQQ,2025-05-09,weekly,call,493.0,NASDAQ,USD,2.0,2.0,1.48,1.66,1,-0.59,-26.22,2.25,2025-04-14,1.57,2025-04-15 20:14:56,109,1.64,2025-04-15 20:14:56,91,-0.07999999999999996,24,7,41.18,122,8,7.02,0.2325,-0.0138,-5.61,1.61,0.122039,0.007412,-0.120675,0.237709,0.035699,2025-04-15,0.2,24,1.61,2025-04-15,2025-05-09,24
QQQ250509C00492500-2025-04-15,options-eod,QQQ250509C00492500,QQQ,2025-05-09,weekly,call,492.5,NASDAQ,USD,2.03,2.04,1.6,1.65,1,-0.66,-28.57,2.31,2025-04-14,1.64,2025-04-15 20:14:48,101,1.71,2025-04-15 20:14:48,86,-0.07999999999999996,15,9,150.0,213,5,2.4,0.232,-0.0148,-5.98,1.65,0.125037,0.007554,-0.122557,0.241783,0.036572,2025-04-15,0.07,24,1.67,2025-04-15,2025-05-09,24
QQQ250509C00492000-2025-04-15,options-eod,QQQ250509C00492000,QQQ,2025-05-09,weekly,call,492.0,NASDAQ,USD,2.24,2.41,2.0,2.0,1,-0.4,-16.67,2.4,2025-04-14,1.71,2025-04-15 20:14:56,107,1.78,2025-04-15 20:14:56,81,-0.06999999999999995,7,-23,-76.67,154,18,13.24,0.2336,-0.0139,-5.63,1.75,0.130225,0.00772,-0.126929,0.248712,0.038072,2025-04-15,0.05,24,1.75,2025-04-15,2025-05-09,24
QQQ250509C00491000-2025-04-15,options-eod,QQQ250509C00491000,QQQ,2025-05-09,weekly,call,491.0,NASDAQ,USD,2.38,2.54,1.86,1.86,1,-0.62,-25.0,2.48,2025-04-14,1.86,2025-04-15 20:14:59,100,1.93,2025-04-15 20:14:59,68,-0.06999999999999995,42,-25,-37.31,255,35,15.91,0.2333,-0.0156,-6.25,1.86,0.137301,0.008014,-0.131604,0.257925,0.040128,2025-04-15,0.16,24,1.9,2025-04-15,2025-05-09,24
QQQ250509C00490000-2025-04-15,options-eod,QQQ250509C00490000,QQQ,2025-05-09,weekly,call,490.0,NASDAQ,USD,2.63,2.77,1.93,2.05,1,-0.45,-18.0,2.5,2025-04-14,2.04,2025-04-15 20:14:59,10,2.1,2025-04-15 20:14:59,62,-0.06999999999999995,67,-271,-80.18,2480,81,3.38,0.2356,-0.0136,-5.44,2.05,0.147436,0.008327,-0.139547,0.270654,0.043055,2025-04-15,0.03,24,2.07,2025-04-15,2025-05-09,24
QQQ250509C00489000-2025-04-15,options-eod,QQQ250509C00489000,QQQ,2025-05-09,weekly,call,489.0,NASDAQ,USD,2.6,2.6,2.12,2.12,1,-1.08,-33.75,3.2,2025-04-14,2.2,2025-04-15 20:14:56,88,2.27,2025-04-15 20:14:56,41,-0.06999999999999995,12,-72,-85.71,209,18,9.42,0.2373,-0.0144,-5.71,2.24,0.157203,0.008627,-0.146761,0.282426,0.045875,2025-04-15,0.06,24,2.24,2025-04-15,2025-05-09,24
QQQ250509C00488000-2025-04-15,options-eod,QQQ250509C00488000,QQQ,2025-05-09,weekly,call,488.0,NASDAQ,USD,3.24,3.24,2.25,2.25,2,-0.75,-25.0,3.0,2025-04-14,2.39,2025-04-15 20:14:59,60,2.46,2025-04-15 20:14:59,37,-0.06999999999999995,24,-14,-36.84,75,7,10.29,0.2388,-0.0147,-5.79,2.43,0.167031,0.008919,-0.153732,0.2938,0.04871,2025-04-15,0.32,24,2.43,2025-04-15,2025-05-09,24
QQQ250509C00487500-2025-04-15,options-eod,QQQ250509C00487500,QQQ,2025-05-09,weekly,call,487.5,NASDAQ,USD,2.91,3.03,2.35,2.35,1,-1.01,-30.06,3.36,2025-04-14,2.49,2025-04-15 20:14:59,37,2.56,2025-04-15 20:14:59,39,-0.06000000000000005,25,17,212.5,55,0,0.0,0.2396,-0.0148,-5.82,2.53,0.172082,0.009062,-0.15726,0.299468,0.050165,2025-04-15,0.45,24,2.53,2025-04-15,2025-05-09,24
QQQ250509C00466000-2025-04-15,options-eod,QQQ250509C00466000,QQQ,2025-05-09,weekly,call,466.0,NASDAQ,USD,11.84,11.84,10.24,10.42,5,-1.81,-14.8,12.23,2025-04-14,10.26,2025-04-15 20:14:59,48,10.38,2025-04-15 20:14:59,23,-0.020000000000000018,64,-84,-56.76,198,67,51.15,0.2856,-0.0147,-4.88,10.32,0.433695,0.011726,-0.293983,0.461862,0.123824,2025-04-15,0.32,24,10.32,2025-04-15,2025-05-09,24
QQQ250509C00530000-2025-04-15,options-eod,QQQ250509C00530000,QQQ,2025-05-09,weekly,call,530.0,NASDAQ,USD,0.15,0.15,0.13,0.13,1,-0.03,-18.75,0.16,2025-04-14,0.1,2025-04-15 20:14:59,115,0.15,2025-04-15 20:14:59,265,-0.16000000000000003,52,-202,-79.53,483,77,18.97,0.2481,-0.0034,-1.37,0.13,0.013036,0.001151,-0.020966,0.039416,0.003841,2025-04-15,0.11,24,0.13,2025-04-15,2025-05-09,24
