id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,exp_date,trade_dt,dte
QQQ231002C00367000,options-contracts,QQQ231002C00367000,QQQ,2023-10-02,weekly,call,367.0,NASDAQ,USD,0.01,0.03,0.01,0.01,4.0,,,,,,2023-10-02 15:14:56,,0.01,2023-10-02 15:14:56,3480.0,,3891.0,,,3014.0,,,0.1324,,,0.01,0.011687,0.012268,-0.039083,0.005731,0.000114,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00366000,options-contracts,QQQ231002C00366000,QQQ,2023-10-02,weekly,call,366.0,NASDAQ,USD,0.04,0.06,0.01,0.01,1.0,,,,,,2023-10-02 15:14:56,,0.01,2023-10-02 15:14:56,3657.0,,8683.0,,,5394.0,,,0.1122,,,0.01,0.013564,0.016476,-0.037774,0.006519,0.000132,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00379000,options-contracts,QQQ231002C00379000,QQQ,2023-10-02,weekly,call,379.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:58,,0.01,2023-10-02 15:14:58,5021.0,,,,,213.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00365000,options-contracts,QQQ231002C00365000,QQQ,2023-10-02,weekly,call,365.0,NASDAQ,USD,0.03,0.15,0.01,0.01,20.0,,,,,,2023-10-02 15:14:56,,0.01,2023-10-02 15:14:56,3484.0,,24980.0,,,5428.0,,,0.0914,,,0.01,0.016293,0.023672,-0.036196,0.007631,0.000159,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00396000,options-contracts,QQQ231002C00396000,QQQ,2023-10-02,weekly,call,396.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00398000,options-contracts,QQQ231002C00398000,QQQ,2023-10-02,weekly,call,398.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00430000,options-contracts,QQQ231002C00430000,QQQ,2023-10-02,weekly,call,430.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,600.0,,,,,1.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00425000,options-contracts,QQQ231002C00425000,QQQ,2023-10-02,weekly,call,425.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00424000,options-contracts,QQQ231002C00424000,QQQ,2023-10-02,weekly,call,424.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00423000,options-contracts,QQQ231002C00423000,QQQ,2023-10-02,weekly,call,423.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
