Date,Close/Last,Volume,Open,High,Low,type,strike,open,high,low,last,last_size,change,pctchange,previous,bid,bid_size,ask,ask_size,moneyness,volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,vol_oi_ratio,dte,midpoint
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,12.0,0.79,1.2,0.24,0.41,10,0.0,0.0,0.41,0.38,22,0.44,19,-0.17,0,0,0.0,4860,0,0.0,2.1118,0.0,0.0,0.41,0.273128,0.118085,-0.067159,0.004435,0.000426,0.0,7,0.41
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,12.5,0.6,0.63,0.2,0.34,3,0.0,0.0,0.34,0.29,22,0.34,10,-0.2199999999999999,0,0,0.0,4197,0,0.0,2.1451,0.0,0.0,0.34,0.233656,0.107081,-0.06282,0.004085,0.000366,0.0,7,0.32
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,13.5,0.72,0.72,0.01,0.21,1,0.0,0.0,0.21,0.18,22,0.24,22,-0.3199999999999999,0,0,0.0,1287,0,0.0,2.1285,0.0,0.0,0.21,0.159637,0.085583,-0.049417,0.00324,0.000255,0.0,7,0.21
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,10.0,0.66,2.3,0.66,1.36,10,0.0,0.0,1.36,1.36,22,1.41,22,-0.02,0,0,0.0,2990,0,0.0,2.1663,0.0,0.0,1.36,-0.489457,0.13814,-0.081666,0.005318,-0.001008,0.0,7,1.39
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,12.0,1.75,3.85,1.7,2.8,1,0.0,0.0,2.8,2.72,6,2.82,10,0.17,0,0,0.0,2522,0,0.0,2.1756,0.0,0.0,2.8,-0.718496,0.116504,-0.069003,0.0045,-0.001504,0.0,7,2.77
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,8.5,0.42,1.42,0.33,0.73,20,0.0,0.0,0.73,0.71,5,0.74,22,-0.17,0,0,0.0,4784,0,0.0,2.4408,0.0,0.0,0.73,-0.294455,0.105952,-0.079772,0.004597,-0.000611,0.0,7,0.73
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,9.0,0.52,1.65,0.43,0.92,1,0.0,0.0,0.92,0.89,6,0.92,21,-0.12,0,0,0.0,3409,0,0.0,2.3671,0.0,0.0,0.92,-0.354785,0.117963,-0.083469,0.004964,-0.000737,0.0,7,0.91
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,9.5,0.5,1.86,0.5,1.14,1,0.0,0.0,1.14,1.12,57,1.15,22,-0.0699999999999999,0,0,0.0,1450,0,0.0,2.2951,0.0,0.0,1.14,-0.419262,0.127735,-0.084884,0.005211,-0.00087,0.0,7,1.14
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,10.5,1.0,2.54,0.96,1.68,1,0.0,0.0,1.68,1.65,7,1.72,8,0.03,0,0,0.0,1517,0,0.0,2.1679,0.0,0.0,1.68,-0.554093,0.136831,-0.080908,0.005271,-0.001151,0.0,7,1.69
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,11.0,1.21,3.02,1.12,2.03,10,0.0,0.0,2.03,1.98,10,2.05,12,0.08,0,0,0.0,2715,0,0.0,2.172,0.0,0.0,2.03,-0.614128,0.132194,-0.078342,0.005101,-0.001273,0.0,7,2.01
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,11.5,1.54,3.0,1.44,2.72,101,0.0,0.0,2.72,2.34,6,2.42,10,0.12,0,0,0.0,1111,0,0.0,2.1238,0.0,0.0,2.38,-0.675361,0.127182,-0.071905,0.004797,-0.001401,0.0,7,2.38
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,12.5,2.15,4.3,1.7,3.35,1,0.0,0.0,3.35,3.1,12,3.25,12,0.22,0,0,0.0,1206,0,0.0,2.0797,0.0,0.0,3.18,-0.776649,0.107918,-0.058171,0.003982,-0.001587,0.0,7,3.18
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,13.5,2.8,4.64,2.73,4.21,1,2.54,152.1,1.67,3.45,8,4.8,13,0.4,51,-221,-81.25,1821,-27,-1.46,2.517,0.8637,52.24,4.21,-0.786541,0.086863,-0.068674,0.003879,-0.001734,0.03,7,4.13
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,12.0,1.75,3.85,1.7,2.8,1,1.88,204.35,0.92,2.72,6,2.82,10,0.25,825,-1383,-62.64,2522,517,25.79,2.1756,0.4302,24.65,2.8,-0.718496,0.116504,-0.069003,0.0045,-0.001504,0.33,7,2.77
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,13.5,0.72,0.72,0.01,0.21,1,-0.76,-78.35,0.97,0.18,22,0.24,22,-0.4,1677,-31,-1.81,1287,254,24.59,2.1285,0.4508,26.87,0.21,0.159637,0.085583,-0.049417,0.00324,0.000255,1.3,7,0.21
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,9.0,2.52,2.55,1.0,1.54,1,-2.46,-61.5,4.0,1.52,6,1.58,16,0.07,11965,5229,77.63,2655,525,24.65,2.3327,0.2113,9.96,1.54,0.645635,0.119616,-0.083226,0.004962,0.000897,4.51,7,1.55
